Encuesta de Población Activa (EPA)
Población en viviendas familiares (incluye parados)
Tasas de actividad, paro y empleo por provincia y sexo
Unidades: Tasas
,Tasa de actividad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasa de paro de la población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasa de empleo de la población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021T3,2021T2,2021T1,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2021T3,2021T2,2021T1,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2021T3,2021T2,2021T1,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,
Hombres,
    09 Burgos,62,77,62,82,62,57,60,99,62,75,61,64,62,20,62,47,63,38,61,47,62,35,63,19,64,61,64,58,63,87,63,98,63,86,63,85,63,86,64,83,67,31,68,04,67,17,66,52,66,07,65,46,65,52,65,54,66,23,66,53,64,29,65,30,65,74,64,52,66,52,67,31,68,97,67,71,65,57,65,44,67,19,66,01,63,95,67,50,66,68,67,01,66,45,7,39,8,87,7,90,8,41,9,72,12,16,8,01,8,14,6,59,6,09,7,60,7,40,8,09,6,63,8,10,7,58,7,00,6,87,8,25,7,20,5,93,10,92,11,96,14,02,14,77,17,66,19,81,18,02,17,00,17,01,13,98,16,92,16,37,17,08,21,17,15,48,13,64,13,30,14,61,13,77,14,59,13,92,15,31,15,29,11,96,14,45,14,42,58,13,57,25,57,63,55,86,56,65,54,15,57,22,57,39,59,20,57,72,57,61,58,52,59,39,60,29,58,70,59,13,59,39,59,46,58,59,60,17,63,32,60,61,59,13,57,19,56,31,53,89,52,54,53,73,54,98,55,22,55,30,54,25,54,98,53,50,52,44,56,89,59,56,58,70,55,99,56,43,57,39,56,83,54,16,57,19,58,70,57,33,56,87,
    10 Cáceres,59,84,58,50,56,73,58,21,60,75,59,28,59,28,60,94,61,61,61,65,60,19,60,79,61,39,62,03,60,76,60,51,58,38,59,97,59,62,59,48,60,65,59,33,60,14,59,25,62,58,62,27,61,93,61,68,62,96,61,81,60,19,61,64,62,78,61,09,60,37,61,37,61,59,60,34,59,93,61,11,60,68,60,06,59,75,60,96,62,75,63,05,60,26,13,88,13,97,19,89,14,75,16,61,17,95,18,22,18,60,14,55,16,12,17,18,18,75,16,17,19,13,20,10,21,24,22,67,21,45,22,04,20,12,18,72,23,06,24,23,22,13,25,96,24,37,25,68,24,38,24,14,26,65,28,63,29,77,32,67,31,44,33,82,30,78,31,68,32,75,29,83,24,92,21,10,19,76,19,84,19,07,19,80,20,11,20,74,51,53,50,33,45,44,49,62,50,66,48,64,48,48,49,61,52,65,51,72,49,84,49,39,51,46,50,17,48,54,47,66,45,15,47,10,46,48,47,51,49,30,45,65,45,57,46,13,46,34,47,09,46,03,46,65,47,76,45,34,42,96,43,29,42,27,41,89,39,96,42,48,42,08,40,57,42,05,45,88,47,88,48,19,47,89,49,33,50,33,50,37,47,76,
    11 Cádiz,62,69,62,87,59,91,63,02,62,57,60,13,62,28,62,00,64,30,62,57,61,51,62,36,62,13,63,12,60,94,62,00,63,99,64,51,65,76,66,14,65,75,66,18,65,06,65,17,64,92,64,68,64,64,64,26,65,22,65,32,65,38,63,78,66,31,64,36,64,40,65,85,66,44,65,32,64,07,66,50,66,86,66,37,65,15,64,89,67,02,66,48,66,83,19,67,20,54,20,21,21,53,15,65,17,24,20,45,18,18,19,45,18,45,22,37,23,12,20,51,23,37,27,24,26,89,24,47,26,35,28,86,28,12,27,47,29,88,32,42,33,69,35,30,34,34,39,51,40,03,40,28,39,89,40,93,36,84,34,18,37,08,38,68,36,01,35,02,33,04,33,59,33,24,29,43,30,39,30,63,29,65,27,41,28,02,28,91,50,36,49,96,47,80,49,45,52,78,49,77,49,55,50,73,51,80,51,02,47,75,47,94,49,38,48,37,44,34,45,32,48,33,47,51,46,78,47,54,47,69,46,40,43,97,43,22,42,00,42,47,39,10,38,54,38,95,39,27,38,62,40,28,43,65,40,49,39,49,42,14,43,17,43,73,42,55,44,39,47,18,46,20,45,20,45,65,48,65,47,85,47,51,
    39 Cantabria,62,93,59,39,59,30,58,67,60,01,58,43,59,81,60,66,61,36,61,32,61,34,61,25,61,60,60,74,59,46,60,98,60,64,61,25,60,79,61,66,62,24,61,71,62,12,61,76,63,10,61,85,62,34,62,84,64,00,63,09,62,48,63,46,62,62,62,18,63,06,64,00,64,10,63,13,64,04,64,41,65,15,63,91,63,70,63,35,63,33,65,23,64,47,9,17,9,88,10,94,11,05,11,67,13,61,10,47,10,32,8,13,8,82,11,30,8,35,7,89,9,81,10,82,13,05,12,63,13,66,13,61,12,62,12,06,14,17,18,55,17,16,16,13,16,13,16,46,19,29,19,68,19,88,21,34,18,52,19,40,21,66,20,91,19,23,16,71,18,48,18,07,16,12,14,82,16,34,17,12,13,12,11,81,12,70,13,03,57,17,53,52,52,81,52,19,53,01,50,48,53,55,54,40,56,37,55,91,54,40,56,13,56,74,54,78,53,02,53,02,52,99,52,88,52,52,53,88,54,73,52,96,50,59,51,16,52,92,51,88,52,08,50,72,51,41,50,55,49,14,51,71,50,47,48,71,49,87,51,69,53,39,51,46,52,46,54,02,55,50,53,46,52,79,55,04,55,85,56,95,56,07,
    12 Castellón/Castelló,62,48,62,88,61,41,62,33,63,73,62,61,64,68,64,84,65,01,64,03,63,45,63,12,63,77,64,29,64,11,65,03,64,26,63,35,62,42,61,85,63,26,62,64,62,45,63,89,66,41,66,78,65,98,66,88,66,41,67,17,66,02,66,48,67,88,67,69,66,33,67,37,67,98,67,85,67,28,67,62,69,01,68,26,69,40,69,61,70,61,69,75,69,46,9,25,12,67,14,87,13,48,12,93,12,79,12,61,10,86,8,96,11,56,11,51,12,10,10,46,12,13,12,82,11,77,11,40,13,76,17,29,14,14,17,64,16,44,18,71,16,91,19,53,22,38,25,23,23,75,26,03,25,94,26,70,27,24,25,62,29,38,29,90,25,45,27,01,28,75,29,52,26,66,25,52,26,13,25,97,23,01,23,22,25,62,23,80,56,71,54,91,52,27,53,93,55,49,54,60,56,53,57,80,59,19,56,63,56,14,55,48,57,10,56,49,55,89,57,37,56,93,54,64,51,63,53,10,52,10,52,34,50,77,53,09,53,44,51,84,49,33,51,00,49,13,49,75,48,39,48,37,50,49,47,80,46,50,50,22,49,62,48,34,47,42,49,59,51,40,50,42,51,38,53,59,54,22,51,88,52,93,
    13 Ciudad Real,64,36,63,74,63,00,62,38,64,17,60,60,62,81,62,90,63,24,62,90,63,10,62,27,62,89,63,00,63,76,64,09,64,33,64,74,65,61,65,82,65,40,65,82,65,19,63,16,64,17,63,28,62,79,64,99,67,54,65,93,65,24,65,33,65,75,64,74,65,55,65,71,65,25,65,51,65,54,66,36,65,93,66,92,67,18,66,38,67,51,68,97,68,02,12,32,13,77,13,96,12,03,14,32,12,12,14,17,12,29,13,24,12,62,11,09,11,12,12,81,15,32,16,76,17,37,16,88,21,33,22,58,20,98,19,36,20,33,24,52,23,61,22,30,26,92,29,31,29,90,29,04,27,92,28,99,25,46,24,70,25,45,27,94,27,31,27,70,29,53,27,98,24,62,20,07,19,25,17,72,18,36,16,57,20,11,21,83,56,43,54,96,54,21,54,87,54,99,53,26,53,91,55,17,54,87,54,96,56,11,55,34,54,84,53,35,53,07,52,95,53,47,50,93,50,80,52,01,52,74,52,44,49,21,48,25,49,86,46,24,44,39,45,56,47,93,47,52,46,33,48,70,49,51,48,27,47,24,47,76,47,18,46,17,47,20,50,02,52,69,54,04,55,27,54,20,56,32,55,10,53,17,
    14 Córdoba,65,22,65,53,64,68,64,53,63,51,62,37,63,87,64,86,65,33,63,82,63,47,63,21,63,86,65,26,63,36,64,93,66,80,65,64,66,10,66,38,66,96,65,94,66,03,64,51,63,94,63,99,63,67,64,95,65,81,65,03,65,21,65,19,66,05,66,07,64,98,64,58,64,46,64,70,66,19,67,24,66,69,67,21,66,72,67,45,67,46,67,71,66,79,17,86,18,41,15,06,20,00,20,67,20,03,21,58,21,90,21,21,16,86,15,62,17,18,19,36,19,47,18,70,21,96,25,92,23,59,23,10,26,59,29,29,28,40,28,15,26,90,29,94,25,23,25,13,29,59,33,51,30,84,29,77,32,69,34,30,29,92,30,56,30,19,33,78,31,99,28,85,28,65,31,61,31,77,26,07,25,33,27,00,25,32,21,00,53,57,53,47,54,94,51,62,50,38,49,88,50,09,50,65,51,47,53,06,53,56,52,35,51,49,52,56,51,52,50,68,49,48,50,15,50,83,48,73,47,34,47,21,47,44,47,16,44,79,47,84,47,67,45,73,43,76,44,98,45,80,43,88,43,39,46,31,45,12,45,08,42,68,44,00,47,10,47,97,45,62,45,86,49,33,50,36,49,25,50,57,52,76,
    15 Coruña, A,58,82,57,17,56,49,57,39,57,96,56,87,58,34,59,55,60,00,59,32,59,03,58,83,59,62,59,31,59,00,59,04,59,72,60,07,59,10,59,95,60,15,59,96,58,94,59,14,60,59,60,15,60,68,59,97,61,32,60,63,59,86,60,00,60,76,61,05,61,53,61,89,62,14,61,84,61,52,61,09,61,65,61,66,61,59,61,63,62,34,61,78,61,65,8,29,10,66,11,95,11,02,9,98,11,00,9,37,8,99,9,19,8,96,9,99,10,37,10,67,12,92,13,48,13,02,12,38,13,60,15,76,13,25,13,90,15,42,15,38,15,04,15,71,17,77,19,42,18,81,18,81,21,53,22,83,21,22,20,55,20,37,20,19,19,89,17,95,19,51,17,92,15,54,15,24,14,53,14,67,14,04,12,96,13,08,12,34,53,94,51,07,49,74,51,06,52,17,50,62,52,87,54,20,54,48,54,01,53,13,52,73,53,26,51,65,51,04,51,35,52,33,51,90,49,78,52,01,51,79,50,71,49,87,50,24,51,07,49,46,48,89,48,70,49,79,47,57,46,19,47,27,48,27,48,61,49,10,49,58,50,99,49,77,50,50,51,60,52,25,52,70,52,55,52,98,54,26,53,70,54,04,
    16 Cuenca,64,17,62,74,63,31,64,20,63,93,63,78,64,30,65,28,63,83,61,95,63,30,63,18,61,72,62,63,62,75,63,27,62,85,64,61,66,70,66,32,68,66,65,32,64,84,62,63,61,53,61,68,61,71,61,32,63,20,63,59,65,43,63,34,64,91,65,55,63,99,61,99,63,76,61,80,63,74,61,70,61,28,61,07,62,18,65,34,64,44,62,63,63,32,8,09,11,28,9,28,10,14,14,57,16,19,14,14,11,74,13,04,11,34,9,24,11,73,15,01,15,01,14,31,13,97,11,11,14,36,13,91,11,44,17,80,17,96,19,07,18,55,19,55,21,25,25,36,24,79,25,63,25,90,28,49,25,74,28,11,29,60,26,13,23,71,16,91,20,55,22,77,20,12,20,24,17,52,19,40,18,45,17,34,13,78,14,94,58,97,55,66,57,43,57,69,54,62,53,45,55,21,57,62,55,51,54,92,57,45,55,77,52,45,53,23,53,77,54,43,55,87,55,33,57,42,58,74,56,44,53,58,52,48,51,01,49,50,48,57,46,06,46,12,47,00,47,12,46,79,47,03,46,66,46,15,47,27,47,30,52,98,49,10,49,23,49,29,48,88,50,37,50,11,53,29,53,27,54,00,53,86,
    20 Gipuzkoa,61,38,60,29,60,55,60,33,60,87,58,36,59,78,60,28,60,76,61,87,60,16,60,69,61,62,63,27,63,39,63,34,62,74,62,19,61,65,61,85,63,72,63,86,63,25,61,48,61,09,61,54,60,59,60,81,61,79,62,37,62,07,62,37,61,50,62,11,61,67,61,99,63,23,65,06,65,28,66,25,66,85,65,22,65,30,64,41,65,89,65,14,65,46,7,18,5,33,7,63,5,70,7,62,4,73,6,14,7,01,4,66,8,15,8,06,6,85,7,34,6,88,7,28,8,10,7,39,6,49,8,99,9,33,8,86,9,32,9,36,9,27,10,46,14,01,13,70,14,06,13,35,16,26,13,56,12,63,13,73,13,61,13,94,12,28,13,28,12,09,10,55,9,25,7,72,7,46,8,24,6,80,8,12,7,01,8,65,56,97,57,08,55,93,56,89,56,23,55,60,56,11,56,06,57,93,56,82,55,31,56,53,57,09,58,92,58,77,58,21,58,10,58,15,56,11,56,08,58,08,57,91,57,33,55,78,54,70,52,92,52,29,52,26,53,54,52,23,53,66,54,49,53,06,53,65,53,08,54,37,54,83,57,20,58,39,60,12,61,70,60,35,59,92,60,03,60,54,60,57,59,80,
