mes,Provincia,horas,cod,mes_n
Abril,Guadalajara,13.3,19,4
Abril,Guipúzcoa,13.42,20,4
Abril,Huelva,13.16,21,4
Abril,Huesca,13.36,22,4
Abril,Jaén,13.18,23,4
Abril,León,13.38,24,4
Abril,Lleida,13.34,25,4
Abril,La Rioja,13.38,26,4
Abril,Lugo,13.4,27,4
Abril,Madrid,13.28,28,4
Abril,Málaga,13.14,29,4
Abril,Murcia,13.18,30,4
Abril,Navarra,13.39,31,4
Abril,Ourense,13.37,32,4
Abril,Asturias,13.42,33,4
Abril,Palencia,13.36,34,4
Abril,Las Palmas,12.84,35,4
Abril,Pontevedra,13.38,36,4
Abril,Salamanca,13.31,37,4
Abril,Santa Cruz de Tenerife,12.85,38,4
Abril,Cantabria,13.42,39,4
Abril,Segovia,13.31,40,4
Abril,Sevilla,13.16,41,4
Abril,Soria,13.35,42,4
Abril,Tarragona,13.32,43,4
Abril,Teruel,13.28,44,4
Abril,Toledo,13.26,45,4
Abril,Valencia,13.25,46,4
Abril,Valladolid,13.34,47,4
Abril,Vizcaya,13.41,48,4
Abril,Zamora,13.33,49,4
Abril,Zaragoza,13.34,50,4
Abril,Ceuta,13.1,51,4
Abril,Melilla,13.08,52,4
Mayo,Álava,14.64,01,5
Mayo,Albacete,14.31,02,5
Mayo,Alicante,14.25,03,5
Mayo,Almería,14.14,04,5
Mayo,Ávila,14.45,05,5
Mayo,Badajoz,14.3,06,5
Mayo,Baleares,14.35,07,5
Mayo,Barcelona,14.51,08,5
Mayo,Burgos,14.6,09,5
Mayo,Cáceres,14.35,10,5
Mayo,Cádiz,14.11,11,5
Mayo,Castellón,14.39,12,5
Mayo,Ciudad Real,14.31,13,5
Mayo,Córdoba,14.22,14,5
Mayo,A Coruña,14.69,15,5
Mayo,Cuenca,14.4,16,5
Mayo,Girona,14.56,17,5
Mayo,Granada,14.16,18,5
Mayo,Guadalajara,14.44,19,5
Mayo,Guipúzcoa,14.69,20,5
Mayo,Huelva,14.17,21,5
Mayo,Huesca,14.58,22,5
Mayo,Jaén,14.21,23,5
Mayo,León,14.62,24,5
Mayo,Lleida,14.53,25,5
Mayo,La Rioja,14.6,26,5
Mayo,Lugo,14.66,27,5
Mayo,Madrid,14.43,28,5
Mayo,Málaga,14.13,29,5
Mayo,Murcia,14.23,30,5
Mayo,Navarra,14.64,31,5
Mayo,Ourense,14.6,32,5
Mayo,Asturias,14.69,33,5
Mayo,Palencia,14.57,34,5
Mayo,Las Palmas,13.54,35,5
Mayo,Pontevedra,14.6,36,5
Mayo,Salamanca,14.47,37,5
Mayo,Santa Cruz de Tenerife,13.56,38,5
Mayo,Cantabria,14.7,39,5
Mayo,Segovia,14.47,40,5
Mayo,Sevilla,14.18,41,5
Mayo,Soria,14.54,42,5
Mayo,Tarragona,14.49,43,5
Mayo,Teruel,14.42,44,5
Mayo,Toledo,14.38,45,5
Mayo,Valencia,14.35,46,5
Mayo,Valladolid,14.53,47,5
Mayo,Vizcaya,14.68,48,5
Mayo,Zamora,14.52,49,5
Mayo,Zaragoza,14.53,50,5
Mayo,Ceuta,14.07,51,5
Mayo,Melilla,14.02,52,5
Junio,Álava,15.28,01,6
Junio,Albacete,14.86,02,6
Junio,Alicante,14.79,03,6
Junio,Almería,14.64,04,6
Junio,Ávila,15.04,05,6
Junio,Badajoz,14.85,06,6
Junio,Baleares,14.92,07,6
Junio,Barcelona,15.12,08,6
Junio,Burgos,15.23,09,6
Junio,Cáceres,14.91,10,6
Junio,Cádiz,14.61,11,6
Junio,Castellón,14.96,12,6
Junio,Ciudad Real,14.85,13,6
Junio,Córdoba,14.74,14,6
Junio,A Coruña,15.35,15,6
Junio,Cuenca,14.97,16,6
Junio,Girona,15.18,17,6
Junio,Granada,14.68,18,6
Junio,Guadalajara,15.03,19,6
Junio,Guipúzcoa,15.34,20,6
Junio,Huelva,14.68,21,6
Junio,Huesca,15.2,22,6
Junio,Jaén,14.73,23,6
Junio,León,15.26,24,6
Junio,Lleida,15.14,25,6
Junio,La Rioja,15.24,26,6
Junio,Lugo,15.3,27,6
Junio,Madrid,15.01,28,6
Junio,Málaga,14.63,29,6
Junio,Murcia,14.76,30,6
Junio,Navarra,15.28,31,6
Junio,Ourense,15.22,32,6
Junio,Asturias,15.35,33,6
Junio,Palencia,15.19,34,6
Junio,Las Palmas,13.9,35,6
Junio,Pontevedra,15.24,36,6
Junio,Salamanca,15.07,37,6
Junio,Santa Cruz de Tenerife,13.92,38,6
Junio,Cantabria,15.36,39,6
Junio,Segovia,15.07,40,6
Junio,Sevilla,14.7,41,6
Junio,Soria,15.16,42,6
Junio,Tarragona,15.09,43,6
Junio,Teruel,15.0,44,6
Junio,Toledo,14.95,45,6
Junio,Valencia,14.91,46,6
Junio,Valladolid,15.14,47,6
Junio,Vizcaya,15.34,48,6
Junio,Zamora,15.13,49,6
Junio,Zaragoza,15.15,50,6
Junio,Ceuta,14.56,51,6
Junio,Melilla,14.5,52,6
Julio,Álava,14.98,01,7
Julio,Albacete,14.6,02,7
Julio,Alicante,14.54,03,7
Julio,Almería,14.4,04,7
Julio,Ávila,14.75,05,7
Julio,Badajoz,14.58,06,7
Julio,Baleares,14.65,07,7
Julio,Barcelona,14.83,08,7
Julio,Burgos,14.92,09,7
Julio,Cáceres,14.64,10,7
Julio,Cádiz,14.37,11,7
Julio,Castellón,14.69,12,7
Julio,Ciudad Real,14.59,13,7
Julio,Córdoba,14.49,14,7
Julio,A Coruña,15.03,15,7
Julio,Cuenca,14.7,16,7
Julio,Girona,14.89,17,7
Julio,Granada,14.43,18,7
Julio,Guadalajara,14.75,19,7
Julio,Guipúzcoa,15.03,20,7
Julio,Huelva,14.44,21,7
Julio,Huesca,14.9,22,7
Julio,Jaén,14.48,23,7
Julio,León,14.95,24,7
Julio,Lleida,14.85,25,7
Julio,La Rioja,14.93,26,7
Julio,Lugo,14.99,27,7
Julio,Madrid,14.73,28,7
Julio,Málaga,14.39,29,7
Julio,Murcia,14.5,30,7
Julio,Navarra,14.98,31,7
Julio,Ourense,14.92,32,7
Julio,Asturias,15.03,33,7
Julio,Palencia,14.89,34,7
Julio,Las Palmas,13.73,35,7
Julio,Pontevedra,14.93,36,7
