CCAA,sexo,year,tot,Cod_ca
Galicia,Mujeres,2017,1403947,12
Galicia,Mujeres,2016,1408716,12
Madrid,Total,2019,6663394,13
Madrid,Total,2018,6578079,13
Madrid,Total,2017,6507184,13
Madrid,Total,2016,6466996,13
Madrid,Hombres,2019,3187312,13
Madrid,Hombres,2018,3147872,13
Madrid,Hombres,2017,3115522,13
Madrid,Hombres,2016,3098631,13
Madrid,Mujeres,2019,3476082,13
Madrid,Mujeres,2018,3430207,13
Madrid,Mujeres,2017,3391662,13
Madrid,Mujeres,2016,3368365,13
Murcia,Total,2019,1493898,14
Murcia,Total,2018,1478509,14
Murcia,Total,2017,1470273,14
Murcia,Total,2016,1464847,14
Murcia,Hombres,2019,747615,14
Murcia,Hombres,2018,740143,14
Murcia,Hombres,2017,736238,14
Murcia,Hombres,2016,733555,14
Murcia,Mujeres,2019,746283,14
Murcia,Mujeres,2018,738366,14
Murcia,Mujeres,2017,734035,14
Murcia,Mujeres,2016,731292,14
Navarra,Total,2019,654214,15
Navarra,Total,2018,647554,15
Navarra,Total,2017,643234,15
Navarra,Total,2016,640647,15
Navarra,Hombres,2019,323631,15
Navarra,Hombres,2018,320469,15
Navarra,Hombres,2017,318671,15
Navarra,Hombres,2016,317840,15
Navarra,Mujeres,2019,330583,15
Navarra,Mujeres,2018,327085,15
Navarra,Mujeres,2017,324563,15
Navarra,Mujeres,2016,322807,15
Pais Vasco,Total,2019,2207776,16
Pais Vasco,Total,2018,2199088,16
Pais Vasco,Total,2017,2194158,16
Pais Vasco,Total,2016,2189534,16
Pais Vasco,Hombres,2019,1073074,16
Pais Vasco,Hombres,2018,1068750,16
Pais Vasco,Hombres,2017,1066905,16
Pais Vasco,Hombres,2016,1065580,16
Pais Vasco,Mujeres,2019,1134702,16
Pais Vasco,Mujeres,2018,1130338,16
Pais Vasco,Mujeres,2017,1127253,16
Pais Vasco,Mujeres,2016,1123954,16
La Rioja,Total,2019,316798,17
La Rioja,Total,2018,315675,17
La Rioja,Total,2017,315381,17
La Rioja,Total,2016,315794,17
La Rioja,Hombres,2019,156179,17
La Rioja,Hombres,2018,155758,17
La Rioja,Hombres,2017,155508,17
La Rioja,Hombres,2016,155969,17
La Rioja,Mujeres,2019,160619,17
La Rioja,Mujeres,2018,159917,17
La Rioja,Mujeres,2017,159873,17
La Rioja,Mujeres,2016,159825,17
Ceuta,Total,2019,84777,18
Ceuta,Total,2018,85144,18
Ceuta,Total,2017,84959,18
Ceuta,Total,2016,84519,18
Ceuta,Hombres,2019,42912,18
Ceuta,Hombres,2018,43177,18
Ceuta,Hombres,2017,43034,18
Ceuta,Hombres,2016,42846,18
Ceuta,Mujeres,2019,41865,18
Ceuta,Mujeres,2018,41967,18
Ceuta,Mujeres,2017,41925,18
Ceuta,Mujeres,2016,41673,18
Melilla,Total,2019,86487,19
Melilla,Total,2018,86384,19
Melilla,Total,2017,86120,19
Melilla,Total,2016,86026,19
Melilla,Hombres,2019,43894,19
Melilla,Hombres,2018,43765,19
Melilla,Hombres,2017,43629,19
Melilla,Hombres,2016,43768,19
Melilla,Mujeres,2019,42593,19
Melilla,Mujeres,2018,42619,19
Melilla,Mujeres,2017,42491,19
Melilla,Mujeres,2016,42258,19
